Ano,Gênero do Melhor Filme,Gênero do Melhor Diretor,Gênero do Melhor Ator,Gênero do Melhor Atriz,Gênero do Melhor Ator Coadjuvante,Gênero do Melhor Atriz Coadjuvante
2013,"Biografia, Drama, História","Aventura, Drama, Fantasia","Biografia, Drama, História","Comédia, Drama, Romance","Drama, Faroeste","Drama, Musical, Romance"
2014,"Biografia, Drama, História","Drama, Ficção científica, Suspense","Biografia, Drama","Comédia, Drama, Romance","Biografia, Drama","Biografia, Drama, História"
2015,"Comédia, Drama","Comédia, Drama","Biografia, Drama, Romance",Drama,"Drama, Musical",Drama
2016,"Biografia, Policial, Drama","Aventura, Drama, Faroeste","Aventura, Drama, Faroeste","Drama, Suspense","Drama, História, Suspense","Biografia, Drama"
2017,Drama,"Comédia, Drama, Musical",Drama,"Comédia, Drama, Musical",Drama,Drama
2018,"Drama, Fantasia, Romance","Drama, Fantasia, Romance","Biografia, Drama, História","Comédia, Policial, Drama","Comédia, Policial, Drama","Biografia, Comédia, Drama"
2019,"Biografia, Comédia, Drama",Drama,"Biografia, Drama, Musical","Biografia, Comédia, Drama","Biografia, Comédia, Drama","Drama, Romance"
2020,"Drama, Suspense","Drama, Suspense","Policial, Drama, Suspense","Biografia, Drama, Musical","Comédia, Drama","Drama, Romance"
2021,Drama,Drama,"Drama, Mistério",Drama,"Biografia, Drama, História",Drama
2022,"Comédia, Drama, Musical","Drama, Faroeste","Biografia, Drama, Esportes","Biografia, Drama, Romance","Comédia, Drama, Musical","Policial, Drama, Musical"
2023,"Ação, Aventura, Comédia","Ação, Aventura, Comédia",Drama,"Ação, Aventura, Comédia","Ação, Aventura, Comédia","Ação, Aventura, Comédia"
2024,"Biografia, Drama, História","Biografia, Drama, História","Biografia, Drama, História","Comédia, Drama, Romance","Biografia, Drama, História","Comédia, Drama"
2025,"Comédia, Drama, Romance","Comédia, Drama, Romance",Drama,"Comédia, Drama, Romance","Comédia, Drama","Policial, Drama, Musical"
