Ano,Melhor Ator,Melhor Ator_Nacionalidade,Melhor Ator_Etnia,Melhor Atriz,Melhor Atriz_Nacionalidade,Melhor Atriz_Etnia,Melhor Diretor,Melhor Diretor_Nacionalidade,Melhor Diretor_Etnia,Melhor Ator Coadjuvante,Melhor Ator Coadjuvante_Nacionalidade,Melhor Ator Coadjuvante_Etnia,Melhor Atriz Coadjuvante,Melhor Atriz Coadjuvante_Nacionalidade,Melhor Atriz Coadjuvante_Etnia
2011,Colin Firth,Reino Unido,Branco,Natalie Portman,Israel,Branco,Tom Hooper,Reino Unido,Branco,Christian Bale,Reino Unido,Branco,Melissa Leo,Estados Unidos,Branco
2012,Jean Dujardin,França,Branco,Meryl Streep,Estados Unidos,Branco,Michel Hazanavicius,França,Branco,Christopher Plummer,Canadá,Branco,Octavia Spencer,Estados Unidos,Negra
2013,Daniel Day-Lewis,Reino Unido,Branco,Jennifer Lawrence,Estados Unidos,Branco,Ang Lee,Taiwan,Asiático,Christoph Waltz,Áustria,Branco,Anne Hathaway,Estados Unidos,Branco
2014,Matthew McConaughey,Estados Unidos,Branco,Cate Blanchett,Austrália,Branco,Alfonso Cuarón,México,Latino,Jared Leto,Estados Unidos,Branco,Lupita Nyong'o,México,Negra
2015,Eddie Redmayne,Reino Unido,Branco,Julianne Moore,Estados Unidos,Branco,Alejandro G. Iñárritu,México,Latino,J.K. Simmons,Estados Unidos,Branco,Patricia Arquette,Estados Unidos,Branco
2016,Leonardo DiCaprio,Estados Unidos,Branco,Brie Larson,Estados Unidos,Branco,Alejandro G. Iñárritu,México,Latino,Mark Rylance,Reino Unido,Branco,Alicia Vikander,Suécia,Branco
2017,Casey Affleck,Estados Unidos,Branco,Emma Stone,Estados Unidos,Branco,Damien Chazelle,Estados Unidos,Branco,Mahershala Ali,Estados Unidos,Negro,Viola Davis,Estados Unidos,Negra
2018,Gary Oldman,Reino Unido,Branco,Frances McDormand,Estados Unidos,Branco,Guillermo del Toro,México,Latino,Sam Rockwell,Estados Unidos,Branco,Allison Janney,Estados Unidos,Branco
2019,Rami Malek,Estados Unidos,MENA,Olivia Colman,Reino Unido,Branco,Alfonso Cuarón,México,Latino,Mahershala Ali,Estados Unidos,Negro,Regina King,Estados Unidos,Negra
2020,Joaquin Phoenix,Porto Rico,Branco,Renée Zellweger,Estados Unidos,Branco,Bong Joon Ho,Coreia do Sul,Branco,Brad Pitt,Estados Unidos,Branco,Laura Dern,Estados Unidos,Branco
2021,Anthony Hopkins,Reino Unido,Branco,Frances McDormand,Estados Unidos,Branco,Chloé Zhao,China,Asiático,Daniel Kaluuya,Reino Unido,Negro,Youn Yuh-jung,Coreia do Sul,Branco
2022,Will Smith,Estados Unidos,Negro,Jessica Chastain,Estados Unidos,Branco,Jane Campion,Nova Zelândia,Branco,Troy Kotsur,Estados Unidos,Branco,Ariana DeBose,Estados Unidos,Latina
2023,Brendan Fraser,Estados Unidos,Branco,Michelle Yeoh,Malásia,Asiática,Daniel Kwan e Daniel Scheinert,Estados Unidos,Asiático,Ke Huy Quan,Vietnã,Asiático,Jamie Lee Curtis,Estados Unidos,Branco
2024,Cillian Murphy,Irlanda,Branco,Emma Stone,Estados Unidos,Branco,Christopher Nolan,Reino Unido,Branco,Robert Downey Jr.,Estados Unidos,Branco,Da'Vine Joy Randolph,Estados Unidos,Branco
2025,Adrien Brody,Estados Unidos,Branco,Mikey Madison,Estados Unidos,Branco,Sean Baker,Estados Unidos,Branco,Kieran Culkin,Estados Unidos,Branco,Zoe Saldaña,Estados Unidos,Branco
